,es,it
2614,construcin,costruzione
2615,multiplicado,uscita
2616,incluso,nele
2617,pasando,murcia
2618,incremente,incremento
2619,contribuido,contribuito
2620,significativamente,ale
2621,compra,lacquisizione
2622,wind,wind
2623,abertis,abertis
2624,economia,economia
2625,sectores,pi
2626,reducidos,si
2627,destin,devoluto
2628,puesto,segio
2629,baja,al
2630,recibieron,ricevuto
2631,artculos,dimensioni
2632,limpieza,pulizia
2633,alrededor,circa
2634,miln,milano
2635,heramienta,strumento
2636,textiles,e
2637,top,top
2638,descendieron,","
2639,significativos,significativi
2640,editorial,spagnola
2641,sanitaria,confezione
2642,menor,.
2643,vasco,baschi
2644,madrid,madrid
2645,comunidad,comunit
2646,favorecido,favorito
2647,salida,partenza
2648,telecomunicaciones,telecomunicazioni
2649,principal,insieme
2650,receptor,ricetore
2651,direcin,indirizo
2652,oficina,deluficio
2653,ice,l
2654,alfonso,el
2655,sabio,sabio
2656,ministro,ministero
2657,franceschini,ministro
2658,mndez,de
2659,igo,igo
2660,vigo,vigo
2661,condecorado,ha
2662,julio,luglio
2663,dario,dario
2664,insignias,insegne
2665,fsicas,fisiche
2666,extranjeras,straniere
2667,campos,campi
2668,ciencia,scienza
2669,docencia,docenza
2670,prestado,riservato
2671,entregar,consegnare
2672,artista,e
2673,exposicin,mostra
2674,organizada,organizata
2675,instituto,istituto
2676,cervantes,.
2677,sustradas,cervantes
2678,tarea,lavoro
2679,desarolar,svilupare
2680,europeas,europea
2681,encuentro,le
2682,euromediterneo,euromediteraneo
2683,lderes,leader
2684,dilogo,dialogo
2685,emliepo,emliepo
2686,titulado,intitolato
2687,comparativo,anlisis
2688,consejera,consigliere
2689,lucila,lucila
2690,danese,gaia
2691,expuso,esposto
2692,materia,materia
2693,gnero,genere
2694,internacional,internazionale
2695,alcanzar,il
2696,felicitaciones,augurio
2697,alfano,alfano
2698,angelino,angelino
2699,asuntos,afari
2700,exteriores,esteri
2701,dirige,presiede
2702,serena,sereno
2703,embajador,delambasciatore
2704,sebastiani,ha
2705,participa,ala
2706,sesin,sesione
2707,inaugural,inaugurale
2708,curso,corso
2709,acadmico,academico
2710,ie,.
2711,university,consultivo
2712,campus,campus
2713,segovia,preso
2714,pronunci,apertura
2715,ceremonia,di
2716,inauguracin,inaugurazione
2717,acdemico,academico
2718,desarol,svilupato
2719,ubicada,antico
2720,convento,santa
2721,asistieron,numerose
2722,rector,salvador
2723,salvador,rosa
2724,carmona,","
2725,consultivo,dela
2726,benjumea,","
2727,junta,regione
2728,pilar,sacristn
2729,garcs,pilar
2730,rodrguez,di
2731,europea,europea
2732,imelda,imelda
2733,afianza,consolida
2734,universidades,universit
2735,estudiantes,degli
2736,nacionalidades,nazionalit
2737,apuesta,al
2738,generacin,generazione
2739,conocimiento,reciproca
2740,excelencia,ecelenza
2741,fotos,foto
2742,tirado,tirado
2743,feria,di
2744,fruit,fruit
2745,atraction,atraction
2746,sanino,ha
2747,ministra,ministro
2748,agricultura,alimentazione
2749,alimentacin,","
2750,medio,lambiente
2751,isabel,isabel
2752,tejerina,tejerina
2753,edicin,edizione
2754,garca,garca
2755,visit,incontrato
2756,expositiva,espositiva
2757,expositores,espositori
2758,nacionales,nazionali
2759,distrubuidos,distribuiti
2760,firmas,spontane
2761,contabilizado,registrato
2762,suponen,di
2763,satlites,del
2764,unin,delunione
2765,satcen,csue
2766,stefano,stefano
2767,lunes,lun
2768,pascal,legai
2769,legai,vice
2770,vicedirector,diretore
2771,damico,ilustrato
2772,giusepe,giusepe
2773,ensearon,le
2774,seciones,ativit
2775,geoespacial,che
2776,asimismo,inoltre
2777,concluida,delincontro
2778,celebr,svolta
2779,breve,breve
2780,reunin,incontro
2781,condecoraciones,onorificenze
2782,entreg,consegnato
2783,stela,ditalia
2784,ins,ins
2785,sastre,","
2786,modelo,modelo
2787,mucho,lunga
2788,estrechas,pi
2789,personales,con
2790,actriz,alatrice
2791,trabajado,i
2792,justamente,in
2793,pupi,pupi
2794,avati,avati
2795,pelculas,film
2796,delo,sposo
2797,cena,","
2798,per,panama
2799,farli,conoscere
2800,izo,da
2801,ricky,simona
2802,tognazi,ricky
2803,largometraje,lungometragio
2804,io,io
2805,recuerda,fa
2806,haber,aver
2807,madrina,madrina
2808,festival,festival
2809,venecia,soprintendenza
2810,italfona,italofona
2811,feragamo,cui
2812,emporio,emporio
2813,armani,armani
2814,valentino,valentino
2815,difundir,difondere
2816,moda,moda
2817,promocionales,promozionali
2818,cine,cine
2819,ariba,alto
2820,considera,ritiene
2821,merecedora,meritevole
2822,grado,grado
2823,perito,perito
2824,tcnico,eo
2825,licenciatura,laurea
2826,filosofa,filosofia
2827,escalado,scalato
2828,cima,ai
2829,saras,saras
2830,director,diretore
2831,programacin,cui
2832,spaneda,spaneda
2833,duda,sicuro
2834,consolidacin,di
2835,comerciales,comerciali
2836,le,sar
2837,merecedor,del
2838,rafaele,rafaele
2839,gianatasio,gianatasio
2840,abogado,av
2841,bufetes,studi
2842,miembro,membro
2843,consejo,consiglio
2844,abogados,avocati
2845,actividad,politica
2846,destacado,per
2847,profesionalmente,seguito
2848,operan,partono
2849,derecho,dirito
2850,procesal,procesuale
2851,consulado,consolato
2852,prximo,prosimo
2853,colabora,colabora
2854,cmara,camera
2855,agencia,agenzia
2856,profesionalidad,profesionalit
2857,generosa,generosa
2858,disponibilidad,disponibilit
2859,vlido,valido
2860,apoyo,grazie
2861,legal,legale
2862,concesin,conferimento
2863,condecoracin,onorificenza
2864,comendatore,comendatore
2865,ditalia,lambasciata
2866,ngela,molina
2867,molina,per
2868,directores,diretori
2869,espaoles,su
2870,basta,basti
2871,recordar,ricordare
2872,almodvar,almodvar
2873,presumir,fregiava
2874,prestigiosa,prestigiosa
2875,carera,indirizarli
2876,altsimo,altisimo
2877,pantala,schermo
2878,televisin,televisione
2879,premiada,premiata
2880,david,david
2881,donatelo,","
2882,frecuentemente,in
2883,gilo,","
2884,invitada,unospite
2885,presente,nostro
2886,estrechsima,solidisimo
2887,profesional,profesionalit
2888,establecida,instaurato
2889,contribucin,contributo
2890,prestigio,prestigio
2891,afirmacin,lafermazione
2892,promocin,promozione
2893,propone,propone
2894,bolognini,bolognini
2895,mercantil,mercantile
2896,bancario,bancario
2897,colaborador,ricerca
2898,habitual,regolarmente
2899,peridico,giornale
2900,econmico,economico
2901,poltico,politico
2902,propiedad,propriet
2903,opinin,quale
2904,impartido,recentemente
2905,avanzado,a
2906,jurdica,solida
2907,preparacin,preparazione
2908,complejas,complese
2909,contribuyendo,contribuendo
2910,informada,informata
2911,mercedes,mercedes
2912,monmany,monmany
2913,periodista,giornalista
2914,escritora,","
2915,licenciada,laureata
2916,periodismo,giornalistico
2917,complutense,complutense
2918,literatura,leteratura
2919,universidad,dela
2920,dante,dante
2921,alighieri,alighieri
2922,especialista,specialista
2923,contempornea,contemporanea
2924,literario,leteraria
2925,diarios,quotidiani
2926,vanguardia,delavanguardia
2927,abc,abc
2928,fuertemente,fortemente
2929,publicado,publicato
2930,autores,di
2931,diversos,italiani
2932,magris,magris
2933,tabuchi,tabuchi
2934,calaso,tradoto
2935,traducido,straniera
2936,oradora,oratrice
2937,ciclos,cicli
2938,conferencias,conferenze
2939,contemporneos,italiani
2940,valioso,lavoro
2941,daniel,daniel
2942,entrecanales,entrecanales
2943,domecq,domecq
2944,empresariado,spagnole
2945,responsable,fondazione
2946,iniciativas,per
2947,empresariales,imprenditoriali
2948,cinabar,cinabar
2949,publicidad,publicit
2950,directivo,ade
2951,agencias,agencias
2952,empresarial,centre
2953,cercano,vicino
2954,colaboracin,colaborazione
2955,nosotros,noi
2956,horse,magior
2957,wek,wek
2958,hpico,in
2959,celebra,celebra
2960,oficial,uficiale
2961,davide,davide
2962,livermore,livermore
2963,palau,palau
2964,les,le
2965,arts,arts
2966,cantado,cantato
2967,teatros,teatri
2968,pavaroti,","
2969,gozado,stato
2970,reconocimiento,riconoscimento
2971,crtica,critica
2972,ensalzado,elevato
2973,talentos,di
2974,siciliani,vespri
2975,considerada,ritenuta
2976,espectculos,spetacolo
2977,zarzuela,zarzuela
2978,valencia,valencia
2979,huela,impronta
2980,significativa,significativa
2981,obtenido,otenuto
2982,destino,del
2983,forza,forza
2984,campoamor,lrico
2985,contribuye,ogni
2986,constantemente,costantemente
2987,lustre,lustro
2988,mantener,genaio
2989,actuales,atuali
2990,vnculos,legami
2991,roberto,roberto
2992,franci,franci
2993,ceo,ceo
2994,compa,societ
2995,asesora,consulenza
2996,cargos,completo
2997,relieve,spico
2998,licenciado,laureatosi
2999,alfieri,alfieri
3000,tenido,dovuto
3001,brilante,brilante
3002,toscana,","
3003,dei,dei
3004,banca,banca
3005,bancaja,bancaja
3006,caixa,","
3007,galicia,novacaixagalicia
3008,novacaixagalicia,novagalicia
3009,novagalicia,banco
3010,banco,banco
3011,espirito,e
3012,novo,","
3013,confirmando,conferma
3014,triangular,triangolazione
3015,financieras,finanziarie
3016,prof,prof
3017,jos,jos
3018,mara,mara
3019,lasale,lasale
3020,diputado,deputato
3021,cantabria,avda
3022,conocedor,conoscitore
3023,amante,estimatore
3024,mantiene,del
3025,intensas,intense
3026,anceloti,anceloti
3027,iconos,icone
3028,ftbol,calcio
3029,smbolo,molte
3030,deporte,per
3031,gan,il
3032,copa,campioni
3033,veces,madrid
3034,entrenador,alenatore
3035,jugador,calciatore
3036,estuvo,era
3037,arigo,fianco
3038,sachi,arigo
3039,mundiales,nei
3040,u,interferenza
3041,milan,milano
3042,chelsea,milan
3043,convirtindose,varia
3044,league,la
3045,inglesa,conquistare
3046,competicin,il
3047,mxima,masimo
3048,ganarla,a
3049,traslad,trasferito
3050,paris,e
3051,saintgermain,saintgermain
3052,campeonato,francese
3053,tercer,titolo
3054,tulo,un
3055,equipo,di
3056,estela,solco
3057,experiencia,esperienza
3058,realmente,acaduto
3059,nica,unica
3060,mandos,guida
3061,equipos,di
3062,dcima,dei
3063,apenas,sopra
3064,certeza,certeza
3065,sabr,sapr
3066,alto,patronato
3067,cabalero,cavaliere
3068,miguel,miguel
3069,tobas,tobas
3070,periodistas,giornalisti
3071,ideador,ideatore
3072,formato,formato
3073,exportado,esportato
3074,idea,lidea
3075,producir,produre
3076,programas,programi
3077,televisivos,televisivi
3078,pblico,o
3079,premios,premi
3080,mdico,medico
3081,encomiables,encomiabili
3082,apoyar,sostenere
3083,causas,di
3084,solidarias,solidariet
3085,relevancia,rilevanza
3086,altruista,prestando
3087,diversas,avr
3088,humanitarias,umanitarie
3089,salus,salus
3090,cibum,cibum
3091,alimentaria,","
3092,deroche,sprechi
3093,alimentario,alimentari
3094,juan,","
3095,vilar,vilar
3096,mir,mir
3097,empresario,di
3098,cotec,cotec
3099,fundacin,fod
3100,acercar,avicinare
3101,investigacion,cientfica
3102,sabido,democratico
3103,sensibilidad,di
3104,charles,charles
3105,powel,powel
3106,profesor,profesor
3107,estimado,stimato
3108,investigador,ricercatore
3109,elcano,","
3110,tank,spagnolo
3111,estudios,studi
3112,estratgicos,strategici
3113,compuesto,voti
3114,madre,madre
3115,habla,italofono
3116,perfecin,un
3117,ligado,sente
3118,actos,a
3119,gasperi,gasperi
3120,patria,patria
3121,colaboradora,colaboratrice
3122,suplemento,suplemento
3123,coresponsal,corispondente
3124,pi,vice
3125,redactora,redatrice
3126,viajes,","
3127,ascendi,ha
3128,cumbre,vertice
3129,cuya,la
3130,versin,del
3131,abundan,spagnola
3132,referencias,autobiografici
3133,conservado,mantenuto
3134,vnculo,legame
3135,bienio,ha
3136,desarolado,","
3137,visibilidad,masima
3138,lanz,lanciato
3139,gourmet,gourmet
3140,revista,rivista
3141,lnea,prenotati
3142,fraga,inoltre
3143,robles,dotor
3144,desempeado,politici
3145,comisin,","
3146,comisiones,delunione
3147,nombrado,nominati
3148,delegacin,delegazione
3149,parlamentaria,","
3150,nato,nato
3151,formar,parte
3152,pakistn,bancario
3153,santander,santander
3154,cargo,ruolo
3155,devocin,devozione
3156,cuniberto,egli
3157,doctor,al
3158,destacados,spico
3159,italgas,e
3160,altsima,elevatisima
3161,consejero,consigliere
3162,delegado,delegato
3163,fenosa,e
3164,gas,gas
3165,participada,al
3166,eni,operatore
3167,operador,chiave
3168,cuyas,di
3169,patrocina,ativit
3170,altsimas,altisime
3171,cascio,.
3172,distinguido,distinguendosi
3173,hombre,uomo
3174,exponente,","
3175,estudiosos,docenti
3176,detuvo,fermato
3177,fronteras,le
3178,adquirido,maturato
3179,tal,caso
3180,designado,designato
3181,proyectos,progeti
3182,entonces,frontiere
3183,especial,speciale
3184,operista,suloperista
3185,saverio,","
3186,mercadante,partitura
3187,recuperado,aver
3188,pimera,e
3189,autgrafa,prima
3190,fgaros,due
3191,incluida,inclusa
3192,ricardo,ricardo
3193,muti,per
3194,quinquenal,progeto
3195,napoli,napoli
3196,representada,rapresentata
3197,perfecto,il
3198,fuga,la
3199,cerebros,cerveli
3200,prdida,una
3201,manera,vengono
3202,moscoso,meritevole
3203,prado,prado
3204,socialista,socialista
3205,legislaturas,legislature
3206,consecutivas,consecutive
3207,nacional,nazionale
3208,navara,navara
3209,federal,federal
3210,portavoz,portavoce
3211,parlamentario,parlamentare
3212,mixta,mista
3213,ue,ue
3214,asamblea,asemblea
3215,interparlamentaria,interparlamentare
3216,ilo,delilo
3217,representante,rapresentante
3218,psoe,psoe
3219,ayuda,asistite
3220,sintona,sintonia
3221,estrecha,racordo
3222,secin,sezione
3223,interpalamentaria,interparlamentare
3224,maran,maraon
3225,cultural,culturale
3226,numerosos,numerosi
3227,intelectual,inteletuale
3228,ortegamaran,ortegamaraon
3229,privada,privata
3230,levado,paese
3231,contactos,fra
3232,creado,creato
3233,crculo,crculo
3234,rosel,","
3235,mayo,giugno
3236,lastortras,lastortras
3237,enher,enher
3238,fecsa,fecsa
3239,endesa,endesa
3240,fomento,trabajo
3241,confederacin,confederacin
3242,importantsima,importantisima
3243,organizaciones,organizazioni
3244,italfono,italofono
3245,cosas,suceso
3246,premio,per
3247,tiepolo,","
3248,otorga,migliori
3249,honorable,.
3250,lpezistriz,lpezistriz
3251,popular,popolare
3252,secretario,sotosegretario
3253,pe,centro
3254,asistente,asistente
3255,aznar,di
3256,quien,telefono
3257,rpidamente,divene
3258,convencido,persuaso
3259,contexto,contesto
3260,idc,delidc
3261,continentes,continenti
3262,forman,facenti
3263,componen,del
3264,valorizar,valorizare
3265,trombeta,marco
3266,london,london
3267,administracin,governo
3268,departamento,dipartimento
3269,anlisis,analisi
3270,financiero,finanziaria
3271,vicepresidente,presidente
3272,negocios,dafari
3273,constituda,costituita
3274,nacida,nasce
3275,ambiciosa,sua
3276,puntos,punti
3277,expo,alexpo
3278,centenario,centenario
3279,presentado,presentato
3280,abri,le
3281,intervinieron,intervenuti
3282,ayuntamiento,county
3283,dalfonos,","
3284,franco,franco
3285,acin,lazione
3286,elvira,","
3287,silvio,consolato
3288,cis,cis
3289,pizi,pizi
3290,pabeln,padiglione
3291,navidea,de
3292,culturas,culture
3293,multicultural,multiculturale
3294,conde,conde
3295,lenar,riempir
3296,sonidos,suoni
3297,sabores,sapori
3298,stand,stand
3299,organizadas,organizate
3300,comprar,acquistare
3301,nios,orfani
3302,adolescentes,ragazi
3303,importados,importati
3304,beln,presepe
3305,mano,diretamente
3306,armeno,armeno
3307,medias,medie
3308,befana,befana
3309,donadas,donate
3310,ingresos,proventi
3311,destinarn,devoluti
3312,habr,proposte
3313,cantos,","
3314,alumnos,gli
3315,interpretada,interpretata
3316,impartida,.
3317,regional,delaministrazione
3318,paisajsticos,paesagistici
3319,proyecin,proiezione
3320,pelcula,film
3321,flecha,del
3322,basada,basata
3323,cuento,trato
3324,rodari,di
3325,conte,musiche
3326,show,conte
3327,detalado,detagliato
3328,htpferiainternacional,htpferiainternacional
3329,jornada,giornata
3330,alcaldesa,madrid
3331,manuela,carmena
3332,acogi,ospitato
3333,juegos,giochi
3334,primavera,primavera
3335,organizados,dala
3336,sabado,sabato
3337,societ,dala
3338,beneficenza,beneficenza
3339,perniciaro,perniciaro
3340,participantes,coinvolti
3341,trmino,termine
3342,gentilmente,oferti
3343,ofrecidos,dala
3344,ferero,","
3345,ibrica,ibrica
3346,agenda,agenda
3347,belas,bele
3348,base,base
3349,reproducin,paseo
3350,reproducibilidad,","
3351,negra,istituto
3352,cea,flor
3353,bermdez,alta
3354,foros,consesi
3355,intervendrn,interverano
3356,arquelogos,archeologi
3357,albert,adri
3358,ribera,ribera
3359,lacomba,lacomba
3360,sergio,matarela
3361,fontana,fontana
3362,ap,delap
3363,plaza,piaza
3364,sn,alcal
3365,bernardas,bernardas
3366,actuaciones,performance
3367,tendrn,proporano
3368,financiado,finanziato
3369,ntegramente,integralmente
3370,circo,circo
3371,malabaristas,malabaristas
3372,norte,norte
3373,bernini,otobre
3374,mini,mini
3375,maker,faire
3376,faire,.
3377,medialabprado,prado
3378,impresora,stampante
3379,gigante,d
3380,fabricante,delazienda
3381,wasp,wasp
3382,impresin,dela
3383,liderado,da
3384,pugliese,","
3385,abierto,","
3386,movimiento,movimento
3387,adultos,adulti
3388,descubierto,scoperto
3389,basadas,creazioni
3390,digital,digitale
3391,electrnica,leletronica
3392,burgos,burgos
3393,telfono,telefono
3394,parmanecer,fax
3395,previa,francesco
3396,cita,apuntamento
3397,abarcar,e
3398,circunscripcin,circoscrizione
3399,provincias,la
3400,valadolid,valadolid
3401,corazn,cuore
3402,participado,preso
3403,clasic,clasic
3404,amistoso,amichevole
3405,inter,","
3406,internazionale,internazionale
3407,jugarn,real
3408,estadio,stadio
3409,santiago,santiago
3410,izquierda,sinistra
3411,litalia,litalia
3412,saper,saper
3413,sturaboti,diretore
3414,particip,partecipato
3415,istituto,listituto
3416,design,design
3417,nutrido,nutrito
3418,conceptos,conceti
3419,beleza,beleza
3420,fuertes,forti
3421,creatividad,creativit
3422,simblicos,simbolici
3423,made,nuovo
3424,in,public
3425,industrias,industrie
3426,participaron,hano
3427,asante,asante
3428,ied,ied
3429,gaia,.
3430,jornadas,corso
3431,abiertas,politico
3432,fiesta,festa
3433,marcados,e
3434,italianidad,alitalianit
3435,sobriedad,","
3436,imponan,nela
3437,acontecimientos,acadimenti
3438,estuvieron,erano
3439,regiones,","
3440,calabria,la
3441,enton,ha
3442,himno,unino
3443,semana,setimana
3444,velada,serata
3445,clausura,conclusiva
3446,andis,andis
3447,congresos,convegni
3448,estudiar,esaminare
3449,comparar,confronto
3450,educativos,e
3451,discursos,di
3452,saludo,saluto
3453,marota,hano
3454,pudieron,potuto
3455,asistir,ad
3456,the,the
3457,fab,fab
3458,linkage,linkage
3459,iniciativa,iniziative
3460,centrada,incentrata
3461,saber,una
3462,lmites,limiti
3463,teritorio,teritorio
3464,contextualizado,","
3465,makers,makers
3466,hermanar,nel
3467,propuestas,proposte
3468,lanzar,di
3469,city,city
3470,research,european
3471,lab,lab
3472,alicante,insieme
3473,prev,molteplici
3474,makespace,makespace
3475,presentarn,verano
3476,conseguidos,stati
3477,rome,rome
3478,comunidades,conti
3479,prctica,creativa
3480,pretende,intende
3481,ofrecer,ofrire
3482,procesos,determinare
3483,fortalecer,raforzare
3484,redes,reti
3485,convocatoria,bando
3486,participar,concorere
3487,febrero,febraio
3488,fabrication,fabrication
3489,mtodos,metodi
3490,materiales,materiali
3491,artesanos,artigiani
3492,movilidad,mobilit
3493,smart,smart
3494,cities,cities
3495,empoderamiento,empowerment
3496,infraestructuras,infrastruture
3497,urbanas,urbane
3498,transporte,trasporti
3499,interaction,interaction
3500,interacin,linterazione
3501,visuales,visive
3502,performances,performance
3503,diseos,design
3504,exploran,esplorano
3505,ulteriores,ulteriori
3506,requisitos,per
3507,modalidad,modalit
3508,web,sito
3509,w,w
3510,vitorio,vitorio
3511,sgarbi,una
3512,dio,dato
3513,titulada,intitolata
3514,rafaelo,rafaelo
3515,parmigianino,la
3516,aranca,via
3517,sexta,sesta
3518,kermese,kermese
3519,culturali,culturali
3520,ministero,ministero
3521,ativit,ativit
3522,turismo,con
3523,inaugurado,inaugurato
3524,gala,gala
3525,entrega,consegna
3526,pianista,pianista
3527,bandas,nicola
3528,pistoleto,michelangelo
3529,arte,la
3530,sofia,sofia
3531,ido,","
3532,galeristas,galeristi
3533,colecionistas,colezionisti
3534,continuo,continua
3535,lucio,fontana
3536,carmelo,.
3537,genaro,di
3538,michelangelo,","
3539,alain,ed
3540,auditorio,auditorio
3541,farnesina,qualit
3542,touring,","
3543,club,il
3544,carta,dala
3545,turistica,turistica
3546,estero,estero
3547,isepi,marted
3548,protocolo,protocolo
3549,valensise,valensise
3550,ministerio,ministero
3551,renovar,rinsaldare
3552,lazos,vincoli
3553,compatriotas,conazionali
3554,residentes,residente
3555,interesados,interese
3556,potencialmente,potenzialmente
3557,tarjeta,carta
3558,beneficiarse,usufruire
3559,descuentos,sconti
3560,tursticos,turistiche
3561,museos,regno
3562,trasportes,fra
3563,complejos,struture
3564,servicios,servizi
3565,informtica,informatica
3566,comenzado,aperta
3567,fitur,fitur
3568,ferias,fiere
3569,deseo,desidero
3570,expresar,esprimere
3571,agradecimiento,aprezamento
3572,abracia,beneficienza
3573,abraza,abraza
3574,cancilera,canceleria
3575,generosamente,generosit
3576,felicitar,particolare
3577,industria,soria
3578,comites,organizata
3579,planificacin,profuso
3580,entregados,consegnati
3581,reconstrucin,dela
3582,apreciada,particolarmente
3583,ayudado,grande
3584,necesidades,dele
3585,hermosa,iniziativa
3586,prspero,felice
3587,donar,donare
3588,aroz,riso
3589,legumbres,legumi
3590,pasta,alamatriciana
3591,atmsfera,natalizio
3592,paquetes,pachi
3593,consular,consolare
3594,brindar,per
3595,inminentes,iminenti
3596,vacaciones,vacanze
3597,vino,vino
3598,espumoso,spumante
3599,panetone,panetone
3600,desea,delatuale
3601,mario,mario
3602,giro,","
3603,muerte,minaciando
3604,subsecretario,sotosegretario
3605,mantuvo,egli
3606,cordial,sono
3607,proficuo,un
3608,coloquio,coloquio
3609,gonzalo,gonzalo
3610,espectro,respiro
3611,tradicional,tradizionale
3612,mercadilo,mercatino
3613,mecadilo,mercatino
3614,manifiesto,manifesto
3615,ventotene,ventotene
3616,espanol,espanol
3617,nasare,nasare
3618,josep,vitivinicoli
3619,borel,borel
3620,devesa,ruiz
3621,virgilio,virgilio
3622,dastoli,dastoli
3623,generale,generale
3624,honorario,hern
3625,concedidos,dal
3626,visibles,valorizare
3627,categoras,categorie
3628,asignados,asegnati
3629,administrador,delegato
3630,mediolanum,mediolanum
3631,categora,gourmet
3632,rusomano,rusomano
3633,diario,quotidiano
3634,ganador,vinto
3635,asociazione,livelo
3636,comunit,mondiale
3637,dedica,dedica
3638,guadalajara,a
3639,acoge,ospita
3640,forbes,forbes
3641,andrs,","
3642,icono,delo
3643,lujo,quale
3644,contiene,un
3645,entrevista,a
3646,luigi,luigi
3647,marca,timbro
3648,selo,de
3649,becas,studio
3650,concedidas,di
3651,alcalde,lord
3652,francisco,de
3653,javier,javier
3654,lacale,lacale
3655,vice,vice
3656,cnsul,fax
3657,giancarlo,presidente
3658,federighi,federighi
3659,rincn,rincn
3660,estreno,deluscita
3661,ermano,ermano
3662,tornerano,prati
3663,prati,sul
3664,presidencia,dela
3665,ministros,ministro
3666,contar,domeniche
3667,aniversario,aniversario
3668,armisticio,delarmistizio
3669,institutos,degli
3670,proyecion,proiezione
3671,bethencourt,","
3672,recepcin,le
3673,selecin,selezione
3674,caldern,caldern
3675,salud,","
3676,selecionador,tecnico
3677,prandeli,prandeli
3678,mana,magior
3679,dirigentes,vertici
3680,federazione,federazione
3681,giuoco,giuoco
3682,calcio,calcio
3683,matarese,antonio
3684,demetrio,vicepresidente
3685,albertini,demetrio
3686,cartas,letere
3687,credenciales,","
3688,litaliano,litaliano
3689,lengua,lingua
3690,medala,medaglia
3691,primo,primo
3692,zani,di
3693,acto,levento
3694,familiares,pensionistici
3695,cnyuges,coniugi
3696,nieta,nipote
3697,tragedia,tragedia
3698,marcinele,marcinele
3699,agosto,giugno
3700,gentiloni,","
3701,celebraciones,celebrazioni
3702,sevila,siviglia
3703,mlaga,mlaga
3704,viaj,gentiloni
3705,institucional,istituzionale
3706,intervino,intervenuto
3707,exponentes,esponenti
3708,trascurso,corso
3709,exhibicin,la
3710,lancieri,lancieri
3711,montebelo,montebelo
3712,penal,juan
3713,adelantado,al
3714,revisin,revisione
3715,kampala,kampala
3716,sitio,web
3717,htpw,htpw
3718,falecimiento,falecimiento
3719,puci,puci
3720,recordarlo,desiderasero
3721,podrn,speciali
3722,benisichi,benisichi
3723,benito,de
3724,ferari,ferari
3725,expuesto,di
3726,femenino,feminile
3727,azuro,azura
3728,acompado,dal
3729,comisario,comisario
3730,hora,lora
3731,seora,signora
3732,convenio,per
3733,andora,andora
3734,almuerzo,pranzo
3735,trinidad,jimnez
3736,husped,stata
3737,leonardo,leonardo
3738,visconti,visconti
3739,jimnez,giugno
3740,adhesin,alunione
3741,privilegiada,con
3742,latinoamericano,il
3743,puente,ruolo
3744,desempea,svolge
3745,modrone,modrone
3746,colegas,ed
3747,presidencias,ungherese
3748,saliente,presidenza
3749,respectivamente,ogeto
3750,foto,","
3751,gino,gino
3752,mesina,mesina
3753,ginom,ginom
3754,hotmail,hotmail
3755,recibe,ricevimento
3756,enogastronoma,lenogastronomia
3757,lanzada,lanciata
3758,hearst,hearst
3759,gastronmico,e
3760,convierta,di
3761,enogastronmicas,enogastronomiche
3762,fod,la
3763,magazine,espa
3764,trimestralmente,con
3765,declar,andrea
3766,nace,nasce
3767,meditico,mediatico
3768,satisfacer,sodisfare
3769,delicatesen,interesato
3770,restaurantes,ristoranti
3771,recomendaciones,racomandazioni
3772,falc,oleicolo
3773,aceiteras,oleicole
3774,presentadora,presentatrice
3775,gonzlez,gonzlez
3776,ramn,ramn
3777,diego,diego
3778,torero,torero
3779,rivera,rivera
3780,juanjo,bedmar
3781,oliva,stilista
3782,womans,womans
3783,anfitrin,casa
3784,homenaje,omagio
3785,miriam,","
3786,inspiring,campagna
3787,women,women
3788,defiende,che
3789,pelez,pelez
3790,ejecutiva,delagenzia
3791,ciegos,ciegos
3792,fabiola,consolato
3793,gianoti,gianoti
3794,mujer,dona
3795,cern,cern
3796,carmen,carmen
3797,posadas,posadas
3798,festejado,hano
3799,anualmente,anualmente
3800,giulio,.
3801,terzi,giulio
3802,santagata,","
3803,hizo,ferari
3804,mariano,mariano
3805,rajoy,rajoy
3806,portugal,portogalo
3807,tajani,e
3808,presidentes,presidenti
3809,governo,governo
3810,frum,organizata
3811,interviene,interviene
3812,pardo,pardo
3813,misn,","
3814,centraron,coloqui
3815,cuestin,questione
3816,decisin,pronuncia
3817,prximas,setimane
3818,semanas,setimane
3819,frontex,loperazione
3820,operacin,frontex
3821,costas,dele
3822,eficaz,la
3823,blanca,blanca
3824,surez,surez
3825,madrilea,madrilena
3826,protagonista,protagonista
3827,piel,piel
3828,habito,habito
3829,pasajeros,pasajeros
3830,imanol,uribe
3831,estrela,emergente
3832,emergente,del
3833,levando,questa
3834,marcas,italiani
3835,guas,inoltre
3836,doing,doing
3837,busines,busines
3838,italy,in
3839,why,why
3840,invest,invest
3841,inmediato,imediato
3842,concernientes,riguardanti
3843,publicaciones,publicazioni
3844,acede,acede
3845,estadstico,statistico
3846,monetaria,monetaria
3847,papiros,papiri
3848,herculano,ercolano
3849,casa,","
3850,lector,pas
3851,acercaremos,avicina
3852,lectura,letura
3853,relectura,del
3854,esos,quegli
3855,dieron,li
3856,causa,causa
3857,sufren,e
3858,maltrato,cos
3859,diplomtica,diplomatica
3860,inovar,sula
3861,acostumbra,cocktail
3862,recordado,ricordato
3863,zapatos,calzature
3864,patricia,patricia
3865,rosales,rosales
3866,joyas,gioieli
3867,lpez,lpez
